A,Anteil ueber 65-Jaehrigen,Code
1003,23,2
1004,23,2
1051,25,2
1054,24,2
1055,28,2
1057,26,2
1058,24,2
1059,24,2
1061,23,2
1062,23,2
3102,23,2
3153,27,2
3154,24,2
3155,26,2
3158,24,2
3159,23,2
3251,23,2
3252,25,2
3254,23,2
3255,27,2
3256,23,2
3257,25,2
3351,24,2
3352,26,2
3354,28,2
3356,24,2
3358,23,2
3360,26,2
3361,23,2
3405,26,2
3451,23,2
3452,23,2
3455,26,2
3461,24,2
3462,25,2
5117,24,2
5158,24,2
5170,24,2
5378,23,2
5512,23,2
5562,23,2
5762,23,2
5766,23,2
5954,24,2
5978,23,2
6434,23,2
6437,24,2
6439,23,2
6535,25,2
6632,24,2
6633,25,2
6634,24,2
6635,23,2
6636,26,2
7131,25,2
7132,23,2
7133,24,2
7134,24,2
7135,25,2
7140,23,2
7141,24,2
7231,23,2
7233,25,2
7311,23,2
7316,25,2
7317,26,2
7318,23,2
7320,23,2
7332,24,2
7336,24,2
7337,24,2
7338,23,2
7340,26,2
8128,23,2
8211,26,2
8435,23,2
9172,24,2
9180,25,2
9182,23,2
9188,23,2
9189,23,2
9276,23,2
9361,24,2
9363,23,2
9377,23,2
9463,24,2
9464,24,2
9472,23,2
9473,23,2
9475,26,2
9476,25,2
9477,24,2
9478,23,2
9479,26,2
9573,23,2
9662,24,2
9672,25,2
9673,23,2
9677,23,2
9762,23,2
9776,23,2
9780,23,2
10041,23,2
10042,23,2
10043,25,2
10044,24,2
10045,25,2
10046,25,2
12051,28,2
12052,26,2
12053,26,2
12060,24,2
12061,24,2
12062,29,2
12063,23,2
12064,24,2
12065,23,2
12066,29,2
12067,27,2
12068,26,2
12069,23,2
12070,29,2
12071,28,2
12072,23,2
12073,28,2
13003,24,2
13004,26,2
13071,26,2
13072,24,2
13073,27,2
13074,24,2
13075,26,2
13076,24,2
14511,28,2
14521,30,2
14522,29,2
14523,30,2
14524,30,2
14625,28,2
14626,30,2
14627,28,2
14628,28,2
14729,27,2
14730,26,2
15001,32,2
15002,24,2
15003,25,2
15081,25,2
15082,28,2
15083,24,2
15084,28,2
15085,29,2
15086,26,2
15087,30,2
15088,26,2
15089,28,2
15090,26,2
15091,29,2
16051,23,2
16052,30,2
16054,33,2
16055,23,2
16056,26,2
16061,24,2
16062,27,2
16063,26,2
16064,26,2
16065,28,2
16066,27,2
16067,26,2
16068,25,2
16069,25,2
16070,26,2
16071,24,2
16072,28,2
16073,30,2
16074,26,2
16075,27,2
16076,30,2
